fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,color,is_red,high_quality
7.4000000000000004,0.69999999999999996,0.0,1.8999999999999999,0.075999999999999998,11.0,34.0,0.99780000000000002,3.5099999999999998,0.56000000000000005,9.4000000000000004,5,red,1.0,0.0
7.7999999999999998,0.88,0.0,2.6000000000000001,0.098000000000000004,25.0,67.0,0.99680000000000002,3.2000000000000002,0.68000000000000005,9.8000000000000007,5,red,1.0,0.0
7.7999999999999998,0.76000000000000001,0.040000000000000001,2.2999999999999998,0.091999999999999998,15.0,54.0,0.997,3.2599999999999998,0.65000000000000002,9.8000000000000007,5,red,1.0,0.0
11.199999999999999,0.28000000000000003,0.56000000000000005,1.8999999999999999,0.074999999999999997,17.0,60.0,0.998,3.1600000000000001,0.57999999999999996,9.8000000000000007,6,red,1.0,0.0
7.4000000000000004,0.69999999999999996,0.0,1.8999999999999999,0.075999999999999998,11.0,34.0,0.99780000000000002,3.5099999999999998,0.56000000000000005,9.4000000000000004,5,red,1.0,0.0
7.4000000000000004,0.66000000000000003,0.0,1.8,0.074999999999999997,13.0,40.0,0.99780000000000002,3.5099999999999998,0.56000000000000005,9.4000000000000004,5,red,1.0,0.0
7.9000000000000004,0.59999999999999998,0.059999999999999998,1.6000000000000001,0.069000000000000006,15.0,59.0,0.99639999999999995,3.2999999999999998,0.46000000000000002,9.4000000000000004,5,red,1.0,0.0
7.2999999999999998,0.65000000000000002,0.0,1.2,0.065000000000000002,15.0,21.0,0.99460000000000004,3.3900000000000001,0.46999999999999997,10.0,7,red,1.0,1.0
7.7999999999999998,0.57999999999999996,0.02,2.0,0.072999999999999995,9.0,18.0,0.99680000000000002,3.3599999999999999,0.56999999999999995,9.5,7,red,1.0,1.0
7.5,0.5,0.35999999999999999,6.0999999999999996,0.070999999999999994,17.0,102.0,0.99780000000000002,3.3500000000000001,0.80000000000000004,10.5,5,red,1.0,0.0
6.7000000000000002,0.57999999999999996,0.080000000000000002,1.8,0.096999999999999989,15.0,65.0,0.99590000000000001,3.2799999999999998,0.54000000000000004,9.1999999999999993,5,red,1.0,0.0
7.5,0.5,0.35999999999999999,6.0999999999999996,0.070999999999999994,17.0,102.0,0.99780000000000002,3.3500000000000001,0.80000000000000004,10.5,5,red,1.0,0.0
5.5999999999999996,0.61499999999999999,0.0,1.6000000000000001,0.08900000000000001,16.0,59.0,0.99429999999999996,3.5800000000000001,0.52000000000000002,9.9000000000000004,5,red,1.0,0.0
7.7999999999999998,0.60999999999999999,0.28999999999999998,1.6000000000000001,0.114,9.0,29.0,0.99739999999999995,3.2599999999999998,1.5600000000000001,9.0999999999999996,5,red,1.0,0.0
8.9000000000000004,0.62,0.17999999999999999,3.7999999999999998,0.17600000000000002,52.0,145.0,0.99860000000000004,3.1600000000000001,0.88,9.1999999999999993,5,red,1.0,0.0
8.9000000000000004,0.62,0.19,3.8999999999999999,0.17000000000000001,51.0,148.0,0.99860000000000004,3.1699999999999999,0.93000000000000005,9.1999999999999993,5,red,1.0,0.0
8.5,0.28000000000000003,0.56000000000000005,1.8,0.091999999999999998,35.0,103.0,0.99690000000000001,3.2999999999999998,0.75,10.5,7,red,1.0,1.0
8.0999999999999996,0.56000000000000005,0.28000000000000003,1.7,0.36799999999999999,16.0,56.0,0.99680000000000002,3.1099999999999999,1.28,9.3000000000000007,5,red,1.0,0.0
7.4000000000000004,0.58999999999999997,0.080000000000000002,4.4000000000000004,0.085999999999999993,6.0,29.0,0.99739999999999995,3.3799999999999999,0.5,9.0,4,red,1.0,0.0
7.9000000000000004,0.32000000000000001,0.51000000000000001,1.8,0.34100000000000003,17.0,56.0,0.99690000000000001,3.04,1.0800000000000001,9.1999999999999993,6,red,1.0,0.0
